"","ensgene","name","module","mm"
"9839","ENSG00000255467","RP11-144G7.2","ivory",0.680016049171272
"9840","ENSG00000075239","ACAT1","ivory",0.666872060728221
"9841","ENSG00000149308","NPAT","cyan",0.700576548413732
"9842","ENSG00000149311","ATM","navajowhite2",0.769004041840296
"9843","ENSG00000166323","C11orf65","greenyellow",0.446082910438162
"9844","ENSG00000178202","KDELC2","darkgrey",0.590248200898491
"9845","ENSG00000110723","EXPH5","magenta",0.708969499644962
"9846","ENSG00000178105","DDX10","green",0.832712433095182
"9847","ENSG00000149289","ZC3H12C","darkturquoise",0.759259496186975
"9848","ENSG00000137710","RDX","purple",0.780466213151736
"9849","ENSG00000137714","FDX1","purple",0.627904343101295
"9850","ENSG00000137727","ARHGAP20","darkturquoise",0.500012441537587
"9851","ENSG00000196167","C11orf92","saddlebrown",0.486228458851326
"9852","ENSG00000214290","C11orf93","pink",0.606227331929093
